offset|type|name|id|url
0|category|Customer Success|137293|https://app.tettra.co/teams/measurabl/categories/137293
0-0|folder|Customer Onboarding|18399|https://app.tettra.co/teams/measurabl/categories/137293/folders/18399
0-0-0|page|Sales Transition|sales-transition|https://app.tettra.co/teams/measurabl/pages/sales-transition
0-0-1|page|Baseline Account Set-up for Hybrid Properties|baseline-account-set-up-for-hybrid-properties|https://app.tettra.co/teams/measurabl/pages/baseline-account-set-up-for-hybrid-properties
0-0-2|page|Baseline Account Set-up for Users with multiple ENERGY STAR accounts|baseline-account-set-up-for-users-with-multiple-energy-star-accounts|https://app.tettra.co/teams/measurabl/pages/baseline-account-set-up-for-users-with-multiple-energy-star-accounts
0-0-3|page|Baseline Account Set-up for ESTAR Manual|baseline-account-set-up-for-estar-manual|https://app.tettra.co/teams/measurabl/pages/baseline-account-set-up-for-estar-manual
0-0-4|page|Wrap-Up of On-boarding|wrap-up-of-on-boarding|https://app.tettra.co/teams/measurabl/pages/wrap-up-of-on-boarding
0-0-5|page|Initial Customer Training|initial-customer-training|https://app.tettra.co/teams/measurabl/pages/initial-customer-training
0-0-6|page|Baseline Account Set-up for EStar Pros + Usync|baseline-account-set-up-for-estar-pros-usync|https://app.tettra.co/teams/measurabl/pages/baseline-account-set-up-for-estar-pros-usync
0-0-7|page|Baseline Account Set-up for Usync Newbie|baseline-account-set-up-for-usync-newbie|https://app.tettra.co/teams/measurabl/pages/baseline-account-set-up-for-usync-newbie
0-0-8|page|Baseline Account Set-up for Limited E-billing Customers|baseline-account-set-up-for-limited-e-billing-customers|https://app.tettra.co/teams/measurabl/pages/baseline-account-set-up-for-limited-e-billing-customers
0-0-9|page|Baseline Account Set-up for Manual|baseline-account-set-up-for-manual|https://app.tettra.co/teams/measurabl/pages/baseline-account-set-up-for-manual
0-1|folder|Zendesk|12368|https://app.tettra.co/teams/measurabl/categories/137293/folders/12368
0-1-0|page|Monthly Customer Support KPI Report|monthly-customer-support-kpi-report|https://app.tettra.co/teams/measurabl/pages/monthly-customer-support-kpi-report
0-1-1|page|Customer Support Monthly Metrics|customer-support-monthly-metrics|https://app.tettra.co/teams/measurabl/pages/customer-support-monthly-metrics
